packets_per_second,bytes_per_second,packet_size_mean,src_ip_entropy,dst_ip_entropy,delta_src_ip_entropy,delta_dst_ip_entropy,TTL_entropy,tcp_src_port_entropy,tcp_dst_port_entropy,udp_src_port_entropy,udp_dst_port_entropy,packet_size_entropy,sip_dip_entropy,sip_dport_entropy,dport_dip_entropy,deviation
47.43,31186.17,657.57,2.81,2.22,2.83,2.06,1.31,4.32,3.78,1.0,1.0,2.62,1.02,0.32,1.69,0.157
42.5,30781.93,724.26,1.93,2.67,2.63,2.49,0.16,2.29,6.42,1.58,1.58,2.5,0.31,0.15,4.04,0.2324
50.51,46319.37,917.12,3.07,1.73,2.67,1.95,3.05,5.43,3.3,2.0,1.5,2.25,1.57,0.76,1.24,0.1843
53.06,41085.14,774.29,2.9,1.09,2.96,0.73,2.97,5.91,1.82,2.0,2.0,2.53,1.81,0.97,1.06,0.1112
46.46,37524.57,807.6,2.65,2.59,2.93,2.62,1.55,3.4,5.85,0.0,0.0,2.31,0.84,0.05,3.05,0.1649
47.81,26801.91,560.58,2.44,2.4,3.03,2.24,0.41,3.76,5.0,2.32,1.37,2.61,0.6,0.29,2.81,0.1136
46.03,31553.53,685.44,2.9,2.33,2.51,2.14,2.52,3.99,4.53,2.0,1.5,2.51,1.01,0.37,2.1,0.0741
55.24,54099.95,979.37,2.58,2.12,2.49,2.17,2.13,3.03,6.21,1.58,1.58,2.03,0.85,0.15,4.08,0.041
55.25,49337.9,893.01,3.19,2.1,2.83,2.43,3.15,4.21,5.24,2.25,1.92,2.27,1.44,0.4,2.57,0.1186
51.26,39948.19,779.32,2.83,2.12,2.68,1.95,1.98,4.55,4.06,0.0,0.0,2.47,1.09,0.33,1.93,0.0736
50.45,19556.31,387.61,2.53,1.31,3.0,1.85,0.82,6.6,0.69,2.58,2.25,2.79,1.27,1.12,0.15,0.1277
50.62,27737.48,547.93,2.89,2.5,2.61,2.73,0.65,5.66,3.48,0.92,0.92,2.87,1.02,0.78,1.25,0.2222
57.38,54981.12,958.19,3.0,1.88,3.21,1.66,2.79,3.79,4.81,0.0,0.0,2.04,1.48,0.47,2.61,0.0901
48.4,44699.61,923.51,2.81,1.8,2.93,1.94,2.57,3.91,4.22,0.0,0.0,1.9,1.28,0.36,2.26,0.1404
42.81,32262.83,753.56,2.52,2.57,2.99,1.95,1.06,3.11,4.73,2.81,2.13,2.68,0.67,0.41,2.5,0.1875
51.24,43611.45,851.1,2.94,1.0,2.78,1.43,2.84,6.08,1.66,0.0,0.0,2.26,1.94,0.92,0.85,0.1167
52.17,39047.05,748.5,2.98,2.58,2.66,2.71,2.2,3.85,5.64,0.0,0.0,2.47,1.1,0.37,2.92,0.1896
52.02,34438.67,662.03,2.77,1.04,2.5,0.94,2.41,6.18,0.98,1.58,1.58,2.96,1.73,0.92,0.53,0.1008
51.02,38055.26,745.84,3.17,2.51,2.85,2.77,2.04,4.82,4.64,0.0,0.0,2.33,1.27,0.47,1.97,0.1068
46.6,44175.74,947.98,2.87,0.91,3.15,0.27,2.74,5.89,1.44,1.58,1.58,2.12,1.96,0.6,0.85,0.1114
