packets_per_second,bytes_per_second,packet_size_mean,src_ip_entropy,dst_ip_entropy,delta_src_ip_entropy,delta_dst_ip_entropy,TTL_entropy,tcp_src_port_entropy,tcp_dst_port_entropy,udp_src_port_entropy,udp_dst_port_entropy,packet_size_entropy,sip_dip_entropy,sip_dport_entropy,dport_dip_entropy,deviation
75.78,5783.52,76.32,1.58,0.0,1.5,0.0,0.0,7.66,1.0,6.63,0.0,1.58,1.58,0.0,1.58,0.0396
70.26,5192.78,73.91,1.71,0.16,1.97,0.79,0.03,7.45,1.22,6.58,0.08,1.61,1.55,0.0,1.59,0.0491
76.11,6103.99,80.2,1.61,0.03,1.66,0.22,0.0,7.65,1.0,6.64,0.0,1.61,1.58,0.0,1.58,0.0451
71.14,5738.69,80.67,1.73,0.18,1.92,0.87,0.0,7.45,1.26,6.58,0.0,1.61,1.54,0.0,1.6,0.0504
79.13,5989.84,75.69,1.58,0.0,1.53,0.0,0.0,7.7,1.0,6.73,0.0,1.58,1.58,0.0,1.58,0.0512
72.58,5823.84,80.24,1.66,0.09,1.97,0.53,0.0,7.57,1.08,6.58,0.0,1.61,1.57,0.0,1.58,0.0272
86.69,6479.82,74.74,1.66,0.09,1.75,0.22,0.0,7.81,1.14,6.83,0.0,1.58,1.57,0.0,1.59,0.0631
83.84,6743.82,80.44,1.63,0.06,1.9,0.87,0.03,7.78,1.0,6.81,0.07,1.63,1.58,0.0,1.58,0.0473
81.57,6179.78,75.76,1.61,0.03,1.69,0.5,0.03,7.75,1.0,6.77,0.08,1.61,1.58,0.0,1.58,0.0476
72.08,5462.75,75.79,1.65,0.09,1.8,0.43,0.0,7.55,1.13,6.6,0.0,1.58,1.57,0.0,1.57,0.1032
76.63,6569.53,85.73,1.63,0.06,1.81,0.44,0.0,7.66,1.0,6.66,0.0,1.63,1.57,0.0,1.58,0.0447
79.48,6414.75,80.71,1.61,0.03,1.73,0.41,0.0,7.72,1.0,6.69,0.0,1.61,1.58,0.0,1.58,0.0507
72.22,5507.17,76.25,1.58,0.0,1.55,0.0,0.0,7.57,1.0,6.58,0.0,1.58,1.58,0.0,1.58,0.0323
68.32,5352.13,78.34,1.61,0.04,1.8,0.31,0.04,7.48,1.0,6.52,0.09,1.61,1.58,0.0,1.58,0.0854
52.42,4647.38,88.65,1.66,0.08,1.76,0.2,0.0,7.09,1.0,6.13,0.0,1.65,1.58,0.0,1.58,0.0309
63.09,5121.19,81.17,1.62,0.04,1.7,0.16,0.0,7.37,1.0,6.39,0.0,1.62,1.58,0.0,1.58,0.0502
71.95,5391.91,74.94,1.64,0.07,1.84,0.36,0.07,7.56,1.0,6.6,0.17,1.64,1.57,0.0,1.57,0.0615
77.55,5899.8,76.08,1.72,0.17,1.92,0.92,0.0,7.55,1.32,6.7,0.0,1.58,1.54,0.0,1.62,0.0369
73.23,5574.71,76.12,1.61,0.03,1.88,0.96,0.0,7.59,1.04,6.6,0.0,1.58,1.58,0.0,1.58,0.0259
66.28,5076.6,76.59,1.61,0.04,1.74,0.22,0.0,7.45,1.04,6.46,0.0,1.58,1.58,0.0,1.58,0.0719
72.76,6351.52,87.29,1.86,0.37,2.27,1.7,0.03,7.33,1.55,6.63,0.08,1.66,1.5,0.0,1.65,0.0788
70.02,5629.73,80.4,1.76,0.2,2.37,1.84,0.06,7.46,1.17,6.57,0.15,1.67,1.55,0.01,1.58,0.0059
78.88,5980.13,75.81,1.66,0.11,1.68,0.71,0.0,7.65,1.16,6.73,0.0,1.58,1.56,0.0,1.58,0.0491
77.44,6575.96,84.92,1.68,0.11,2.22,1.16,0.0,7.68,1.08,6.61,0.0,1.63,1.57,0.0,1.58,0.0257
69.81,5337.11,76.45,1.61,0.03,1.7,0.23,0.03,7.52,1.0,6.54,0.09,1.61,1.58,0.0,1.58,0.0329
72.51,5783.04,79.75,1.67,0.09,2.14,1.04,0.03,7.55,1.04,6.63,0.08,1.64,1.57,0.0,1.57,0.0397
77.21,5726.28,74.17,1.72,0.17,2.34,1.33,0.03,7.63,1.16,6.71,0.16,1.64,1.55,0.0,1.57,0.0302
