packets_per_second,bytes_per_second,packet_size_mean,src_ip_entropy,dst_ip_entropy,delta_src_ip_entropy,delta_dst_ip_entropy,TTL_entropy,tcp_src_port_entropy,tcp_dst_port_entropy,udp_src_port_entropy,udp_dst_port_entropy,packet_size_entropy,sip_dip_entropy,sip_dport_entropy,dport_dip_entropy,deviation
63.03,24384.53,386.85,2.79,0.96,4.55,1.0,1.45,0,0,7.21,0.0,4.05,1.83,2.79,0.0,0.0422
47.04,18786.97,399.39,2.38,0.88,4.33,0.97,1.28,0,0,6.82,0.0,3.82,1.5,2.38,0.0,0.0764
58.84,21828.13,371.0,2.78,0.96,4.94,0.87,1.41,0,0,6.98,0.0,3.94,1.82,2.78,0.0,0.0437
49.69,18486.11,372.05,3.32,0.97,4.85,0.88,1.5,0,0,7.17,0.0,4.01,2.34,3.32,0.0,0.0632
64.96,21642.75,333.19,4.22,1.0,6.12,0.28,1.6,0,0,7.37,0.0,4.0,3.23,4.22,0.0,0.0534
68.09,25669.11,377.0,3.13,0.97,4.8,0.98,1.4,0,0,7.42,0.0,4.19,2.17,3.13,0.0,0.0204
54.98,19007.32,345.74,3.34,1.0,4.25,0.14,1.6,0,0,6.65,0.0,4.08,2.34,3.34,0.0,0.0388
75.51,24731.05,327.54,4.57,0.98,6.12,0.58,1.79,0,0,7.52,0.0,4.23,3.59,4.57,0.0,0.045
68.37,29327.17,428.97,2.09,0.8,3.41,0.98,1.12,0,0,7.49,0.0,3.83,1.29,2.09,0.0,0.0683
61.49,25443.05,413.76,2.29,0.84,4.64,0.22,1.28,0,0,7.34,0.0,3.85,1.45,2.29,0.0,0.0402
84.27,27487.79,326.19,3.87,0.99,5.17,0.7,1.72,0,0,7.11,0.0,4.18,2.88,3.87,0.0,0.0728
53.61,15151.75,282.64,5.27,0.89,4.72,0.88,1.77,0,0,7.0,0.0,4.01,4.38,5.27,0.0,0.0265
76.04,29901.77,393.24,3.07,0.93,3.75,0.9,1.31,0,0,7.59,0.0,3.83,2.14,3.07,0.0,0.0781
71.1,21588.44,303.65,5.01,0.88,4.87,1.0,1.89,0,0,6.92,0.0,4.04,4.12,5.01,0.0,0.019
73.52,30207.13,410.89,2.54,0.93,3.0,1.03,1.26,0,0,7.32,0.0,3.95,1.61,2.52,0.0,0.0246
74.68,29902.46,400.43,2.56,0.88,5.54,0.85,1.26,0,0,7.33,0.0,3.76,1.68,2.56,0.0,0.0321
43.1,16513.28,383.18,2.85,0.94,2.93,0.75,1.33,0,0,6.67,0.0,3.67,1.91,2.85,0.0,0.0513
44.12,17814.44,403.78,2.4,0.87,4.79,0.99,1.18,0,0,6.71,0.0,3.65,1.53,2.4,0.0,0.0807
60.18,26201.43,435.42,1.64,0.73,2.91,0.53,0.9,0,0,7.05,0.0,3.55,0.91,1.6,0.0,0.0842
74.75,33262.26,444.99,1.68,0.73,3.55,0.84,0.99,0,0,7.41,0.0,3.74,0.95,1.68,0.0,0.0289
56.28,21586.69,383.56,2.58,0.93,3.0,0.65,1.33,0,0,6.71,0.0,3.87,1.65,2.58,0.0,0.0766
54.66,21528.03,393.88,1.92,0.89,4.21,0.87,1.27,0,0,6.36,0.0,3.64,1.03,1.92,0.0,0.0544
68.89,26546.49,385.34,2.76,0.96,4.6,0.86,1.42,0,0,6.94,0.0,4.15,1.8,2.76,0.0,0.0455
61.94,24007.61,387.59,2.01,0.91,4.19,0.23,1.25,0,0,6.43,0.0,3.79,1.1,2.01,0.0,0.0352
