packets_per_second,bytes_per_second,packet_size_mean,src_ip_entropy,dst_ip_entropy,delta_src_ip_entropy,delta_dst_ip_entropy,TTL_entropy,tcp_src_port_entropy,tcp_dst_port_entropy,udp_src_port_entropy,udp_dst_port_entropy,packet_size_entropy,sip_dip_entropy,sip_dport_entropy,dport_dip_entropy,deviation
64.79,63344.57,977.64,3.11,1.52,3.03,2.96,3.31,6.27,4.93,2.0,2.0,2.27,1.99,0.3,2.34,0.0358
66.48,58547.93,880.71,3.28,1.73,3.2,3.57,3.5,6.38,5.26,2.81,2.81,2.59,2.04,0.31,2.59,0.0267
65.71,62910.23,957.36,3.48,1.92,3.37,2.85,3.3,5.4,4.54,1.92,1.92,2.86,1.97,0.6,2.1,0.1
63.89,62427.64,977.19,3.16,1.49,3.47,2.94,3.47,6.34,4.88,1.58,1.58,2.24,2.02,0.24,2.42,0.0166
65.78,68200.93,1036.85,3.03,1.32,3.01,2.63,3.83,6.12,5.02,2.32,2.32,2.05,2.06,0.18,2.53,0.0467
69.59,70242.4,1009.44,2.88,1.36,3.24,3.16,3.71,6.39,5.4,2.5,2.5,2.15,1.93,0.06,3.01,0.0272
72.28,75021.97,1037.94,2.96,1.33,2.9,2.97,3.63,6.39,5.52,3.0,3.0,1.86,2.04,0.14,3.13,0.0487
64.71,64142.03,991.25,3.08,1.43,2.71,2.39,3.47,6.29,5.06,2.58,2.58,2.37,2.08,0.28,2.81,0.0208
57.27,56293.0,983.02,2.95,1.35,3.11,2.65,3.71,6.21,5.59,2.32,2.32,2.13,2.05,0.12,3.15,0.0305
71.93,71601.57,995.42,2.87,1.36,2.8,1.95,3.77,6.32,6.06,3.0,3.0,2.05,2.04,0.1,3.55,0.0319
68.53,69671.04,1016.66,3.06,1.42,2.7,2.92,3.92,6.28,6.0,2.52,2.52,2.09,2.2,0.09,3.48,0.0299
80.22,83257.69,1037.82,2.96,1.15,3.12,1.98,3.67,6.63,6.03,1.58,1.58,1.72,2.16,0.14,3.66,0.0648
60.21,62934.41,1045.33,3.01,1.31,3.0,1.45,3.81,6.1,5.45,2.58,2.58,1.79,2.13,0.16,3.13,0.0557
44.58,46839.19,1050.65,3.01,1.18,3.34,1.99,4.06,5.75,5.67,1.5,1.5,1.97,2.28,0.05,3.39,0.0939
61.87,62984.29,1018.0,2.93,1.28,3.13,2.05,3.73,6.2,6.13,2.25,2.25,1.93,2.16,0.04,3.7,0.0864
74.38,78534.69,1055.91,3.0,1.33,2.99,2.53,3.57,6.36,5.58,2.81,2.81,2.1,2.11,0.09,3.09,0.0713
62.73,64352.8,1025.94,3.04,1.32,3.01,2.03,3.59,6.18,5.01,2.58,2.58,2.03,2.1,0.25,2.77,0.0952
64.77,69111.99,1067.05,2.87,1.24,3.39,2.84,3.54,6.2,5.76,1.58,1.58,1.59,2.07,0.14,3.1,0.0291
59.58,63254.3,1061.62,2.92,1.21,2.92,2.76,3.66,6.07,5.9,2.0,2.0,1.94,2.18,0.06,3.33,0.1218
60.35,66288.13,1098.39,2.63,1.25,2.5,3.33,3.59,6.0,5.77,2.25,2.25,1.56,1.85,0.0,3.24,0.0649
57.98,60518.98,1043.84,3.04,1.24,3.08,2.93,3.67,6.17,4.72,2.0,2.0,2.07,2.1,0.29,2.43,0.0416
64.17,68379.44,1065.64,2.78,1.26,2.75,2.69,3.61,6.16,4.96,2.58,2.58,2.03,1.86,0.11,2.63,0.0515
